,Name,Description,Category,URL,Small_Image,Large_Image,Tags
145,Undercover,Politieagente Nurgül Ozdemir werkt in een kleine provinciestad als ze opdracht krijgt te infiltreren in de Turkse maffia. Ze krijgt de sleutelrol in een operatie om een Turkse drugsbende op te pakken.,Films,https://www.npostart.nl/undercover/24-01-2015/KN_1666411,https://images.npo.nl/tile/320x180/645562.jpg,https://images.npo.nl/tile/320x180/645562.jpg,"['Drama', 'Misdaad', '3 seizoenen']"
150,Filmlab:,Jett Rebel: Ready for Takeoff. De jonge muzikant Jett Rebel (23) heeft het afgelopen jaar twee 3FM Awards en een Edison in de wacht gesleept.,Films,https://www.npostart.nl/filmlab/28-11-2014/AT_2025233,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1406586.jpg,[]
156,Escort,Chantal is af en toe escort. Op een dag vraagt miljonair Jacobsen of ze met hem wil trouwen. Hij heeft nog een half jaar te leven. Chantal is zijn enige erfgenaam. Het huwelijk wordt een nachtmerrie.,Films,https://www.npostart.nl/escort/20-06-2015/VARA_101375086,https://images.npo.nl/tile/320x180/652124.jpg,https://images.npo.nl/tile/320x180/652124.jpg,['Thriller']
158,A royal affair,Deens filmdrama. Prinses Caroline Mathilde wordt op jonge leeftijd uitgehuwelijkt aan de schizofrene Deense koning Christian VII. Ze begint een verhouding met de hofarts.,Films,https://www.npostart.nl/a-royal-affair/04-07-2015/POW_00684018,https://images.npo.nl/tile/320x180/1647468.jpg,https://images.npo.nl/tile/320x180/1647468.jpg,"['Drama', 'Historisch']"
164,Het Schnitzelparadijs,"Komedie over de Marokkaanse Nordip, die na zijn eindexamen zijn leven in eigen hand neemt en zich daarbij nogal in de nesten werkt.",Films,https://www.npostart.nl/het-schnitzelparadijs/18-04-2015/VPWON_1241512,https://images.npo.nl/tile/320x180/1069862.jpg,https://images.npo.nl/tile/320x180/1069862.jpg,"['Komedie', 'Romantiek']"
166,Pan's labyrinth,"In 1944, als Franco aan de macht is, ontvlucht de jonge stiefdochter van een sadistische legerofficier de harde realiteit door afleiding te zoeken in een mysterieus labyrint.",Films,https://www.npostart.nl/pans-labyrinth/25-09-2015/POW_00963989,https://images.npo.nl/tile/320x180/656843.jpg,https://images.npo.nl/header/2560x1440/656843.jpg,[]
173,Zappbios keuzefilm,"Op haar achttiende verjaardag ontdekt Constanze dat ze zes broers heeft, die bij haar geboorte in witte zwanen zijn veranderd. Constanze is de enige die de betovering kan verbreken.",Films,https://www.npostart.nl/zappbios-keuzefilm/27-10-2015/POW_02857450,https://images.npo.nl/tile/320x180/669419.jpg,https://images.npo.nl/header/2560x1440/669419.jpg,[]
175,Cop vs Killer,"Vier dagen en nachten uit het leven van een meedogenloze crimineel, op wie door iedereen jacht wordt gemaakt. Mirko Narain moet anderen vermoorden om zelf in leven te blijven.",Films,https://www.npostart.nl/cop-vs-killer/01-10-2015/AT_2044371,https://images.npo.nl/tile/320x180/656041.jpg,https://images.npo.nl/tile/320x180/656041.jpg,"['Misdaad', 'Thriller']"
181,Filmlab,"Twee zigeunerbroertjes dwalen, zonder duidelijke bestemming, rond in een grote lege wereld. Langs hen heen raast de maatschappij. Alhoewel deze maar een paar meter van ze verwijderd is, lijkt de afstand toch ontzettend groot. Samen creëren ze onderweg hun eigen realiteit maar hoe verhoud je je uiteindelijk écht tot een wereld waar je geen deel van uit maakt?",Films,https://www.npostart.nl/filmlab/20-09-2015/VPWON_1249380,https://images.npo.nl/tile/320x180/651917.jpg,https://images.npo.nl/header/2560x1440/651917.jpg,[]
184,VPRO Filmnacht,"Tragikomedie over Fred, een eenzame man die sinds de dood van zijn vrouw alleen in een gehucht woont. Zijn zoon ziet hij al jaren niet meer.",Films,https://www.npostart.nl/vpro-filmnacht/30-01-2016/VPWON_1257530,https://images.npo.nl/tile/320x180/1002706.jpg,https://images.npo.nl/tile/320x180/1002706.jpg,['15 seizoenen']
187,American hustle,Filmdrama over de befaamde Abscam undercoveroperatie van de FBI eind jaren 70.,Films,https://www.npostart.nl/american-hustle/04-03-2016/POW_00963982,https://images.npo.nl/tile/320x180/719798.jpg,https://images.npo.nl/tile/320x180/719798.jpg,"['Komedie', 'Misdaad']"
189,"Like father, like son",Na een schokkend bericht te hebben gekregen wordt de succesvolle zakenman Ryota gedwongen een levensveranderende beslissing te nemen.,Films,https://www.npostart.nl/like-father-like-son/23-04-2016/POW_01002942,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/69000/69335.jpg?cb=1623318888,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/69000/69335.jpg?cb=1623318888,"['Misdaad', 'Drama']"
193,Hope,De ambitieuze econome Hannah Binnekamp krijgt in haar strijd tegen de financiële wereld in New York hulp van haar minnaar. Totdat juist hij de tegenstander blijkt waarmee ze zal moeten afrekenen.,Films,https://www.npostart.nl/hope/24-04-2016/VPWON_1251419,https://images.npo.nl/tile/320x180/738263.jpg,https://images.npo.nl/tile/320x180/738263.jpg,"['Drama', 'Romantiek']"
195,Philomena,"Het waargebeurde verhaal van Philomena Lee, die als tiener haar buitenechtelijke zoontje ter adoptie moest afstaan op aandringen van de Iers-Katholieke gemeenschap waarin ze woonde.",Films,https://www.npostart.nl/philomena/15-05-2016/POW_00963984,https://images.npo.nl/tile/320x180/729864.jpg,https://images.npo.nl/tile/320x180/729864.jpg,"['Drama', 'Biografie']"
196,Kamp Holland,Nadat een Nederlands konvooi zich in Uruzgan kapotrijdt op een bermbom voelt korporaal Postma zich gedwongen het heft in eigen hand te nemen en schiet hij een verdachte Afghaan neer.,Films,https://www.npostart.nl/kamp-holland/22-05-2016/VPWON_1242657,https://images.npo.nl/tile/320x180/749502.jpg,https://images.npo.nl/header/2560x1440/749502.jpg,[]
