Name,Description,Category,URL,Small_Image,Large_Image,Tags
Dikkertje Dap,"Dikkertje Dap en zijn beste vriend, giraf Raf zijn onafscheidelijk. Daarom bedenkt Dikkertje, wanneer hij voor het eerst naar school moet, een plan om Raf mee te kunnen nemen.",Films,https://www.npostart.nl/dikkertje-dap/27-12-2020/KN_1718008,https://images.npo.nl/tile/320x180/1526298.jpg,https://images.npo.nl/tile/320x180/1526298.jpg,['Familie']
Demi,De nog bij haar overbeschermende ouders wonende Demi (23) raakt zwanger van een vrijgevochten muzikant. Na te veel bemoeienis van haar ouders vlucht Demi op haar scooter impulsief van huis.,Films,https://www.npostart.nl/demi/24-10-2020/VPWON_1324922,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1133000/1133931.jpg?cb=1643807270,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1133000/1133931.jpg?cb=1643807270,['Drama']
Avond van de Korte Film 2020,"We vieren de 20e editie KORT! Je ziet de volgende tien korte films: Leeuwin, Beti, Stuchwitu, De Huwelijksreis, Kippenkracht, Laatste rit, Nova, Snorrie, Cloudmaker en Sea Shadow.",Films,https://www.npostart.nl/avond-van-de-korte-film-2020/11-12-2020/VPWON_1325715,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/238000/238440.jpg?cb=1444403019,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/238000/238440.jpg?cb=1444403019,"['Drama', 'Komedie']"
I.M.,"Het is liefde op het eerste gezicht voor de jonge, vroegwijze, bleue schrijfster Connie Palmen en de beruchte, scherpe interviewer Ischa Meijer. Wat volgt is een meeslepende en onconventionele liefdesrelatie vol pieken en dalen tot de dood hen scheidt.",Films,https://www.npostart.nl/im/AT_2126953,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1133000/1133254.jpg?cb=1609500122,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1133000/1133254.jpg?cb=1609500122,"['Biografie', 'Drama']"
Masha en de beer - de 2e film,"Masha en de vriendelijke Beer beleven weer enkele vermakelijke avonturen. Van logeerpartijtjes tot een potje ijshockey en van apenstreken tot zeemeerminnen, het is altijd een dolle boel.",Films,https://www.npostart.nl/masha-en-de-beer-de-2e-film/31-12-2020/POW_04393994,https://images.npo.nl/tile/320x180/1537992.jpg,https://images.npo.nl/tile/320x180/1537992.jpg,"['Animatie', 'Familie']"
Samba,"De Senegalese Samba woont al tien jaar in Frankrijk en leeft van slechte bijbaantjes. Alice, een ambtenaar, heeft last van een burn-out. Beiden willen ze uit hun precaire situatie komen.",Films,https://www.npostart.nl/samba/02-01-2021/POW_03976026,https://images.npo.nl/tile/320x180/1404406.jpg,https://images.npo.nl/tile/320x180/1404406.jpg,"['Komedie', 'Drama']"
De slak en de walvis,Een kleine zeeslak verveelt zich op een rots in een oude haven en droomt van een wereldreis. Op een dag biedt een grote bultrugwalvis aan om hem mee te nemen op een reis over de oceanen van de wereld.,Films,https://www.npostart.nl/de-slak-en-de-walvis/01-01-2021/POW_04102384,https://images.npo.nl/tile/320x180/1525515.jpg,https://images.npo.nl/tile/320x180/1525515.jpg,['Animatie']
Zappbios: Jachtvliegers,"Yotam en Noa zijn gek van vliegtuigen. Als ze het wrak van een beroemd jachtvliegtuig vinden, gaan ze het met hulp van een 80-jarige oud-piloot weer vliegklaar maken. Durven ze echt de lucht in?",Films,https://www.npostart.nl/zappbios-jachtvliegers/23-01-2021/POW_04781853,https://images.npo.nl/tile/320x180/1533073.jpg,https://images.npo.nl/tile/320x180/1533073.jpg,"['Avontuur', 'Familie']"
Jachtvliegers,"Yotam en Noa zijn gek van vliegtuigen. Als ze het wrak van een beroemd jachtvliegtuig vinden, gaan ze het met hulp van een 80-jarige oud-piloot weer vliegklaar maken. Durven ze echt de lucht in?",Films,https://www.npostart.nl/jachtvliegers/20-02-2021/POW_04870599,https://images.npo.nl/tile/320x180/1533073.jpg,https://images.npo.nl/tile/320x180/1533073.jpg,"['Avontuur', 'Familie']"
Zappbios: Mijn eigen circus,"Laura trekt al haar hele leven rond met haar vader, die als clown optreedt. Als Laura kans maakt om toegelaten te worden op een privé-school heeft haar vader daar grote moeite mee.",Films,https://www.npostart.nl/zappbios-mijn-eigen-circus/28-03-2021/POW_04852836,https://images.npo.nl/tile/320x180/1569490.jpg,https://images.npo.nl/tile/320x180/1569490.jpg,['Komedie']
Red Light,"Drie vrouwen verliezen zichzelf, en vinden elkaar, in de wereld van prostitutie en mensenhandel.",Films,https://www.npostart.nl/red-light/BV_101404578,https://www.moviemeter.nl/series/images/photo/6000/6233.300.jpg?cb=1615823772,https://www.moviemeter.nl/series/images/photo/6000/6233.300.jpg?cb=1615823772,['Drama']
"Peachez, een romance",Bewerking van Ilja Leonard Pfeiffers gelijknamige succesroman en toont een bloedstollende reconstructie van een liefdesgeschiedenis tussen een professor en de jonge Sarah Peachez.,Films,https://www.npostart.nl/peachez-een-romance/23-04-2021/VPWON_1330411,https://images.npo.nl/tile/320x180/1566622.jpg,https://images.npo.nl/tile/320x180/1566622.jpg,['Drama']
Le Grand Bain,In het gemeentezwembad doet een groepje mannen van middelbare leeftijd aan synchroonzwemmen. Ondanks sceptische reacties besluiten ze als team voor Frankrijk mee te doen aan het WK Synchroonzwemmen.,Films,https://www.npostart.nl/le-grand-bain/13-05-2021/POW_04650629,https://images.npo.nl/tile/320x180/1559637.jpg,https://images.npo.nl/tile/320x180/1559637.jpg,"['Komedie', 'Sport']"
