,Name,Description,Category,URL,Small_Image,Large_Image,Tags
15,Geheugenmemory | De Avondshow met Arjen Lubach,Zes lastige vragen liggen verborgen onder twaalf memorykaarten. Als Arjen een setje heeft mag hij de vraag stellen. Heeft de gast een setje? Dan is de vraag weggespeeld.,Programmas,https://www.npostart.nl/geheugenmemory-de-avondshow-met-arjen-lubach/POMS_S_VPRO_16823701,https://images.npo.nl/tile/320x180/SL_De_Avondshow_met_Arjen_Lubach_cdn_tile-1645473079.png,https://images.npo.nl/tile/320x180/SL_De_Avondshow_met_Arjen_Lubach_cdn_tile-1645473079.png,"['Komedie', '2 seizoenen']"
16,Happy Trending,Emma Wortelboer en Defano Holwijn onderzoeken spraakmakende trends. Ze praten met experts en ervaringsdeskundigen en nemen in Happy Testing de proef op de som. Uiteindelijk wijst hun onderzoek uit: is een trend Happy of toch Crappie?,Programmas,https://www.npostart.nl/happy-trending/BV_101407650,https://images.npo.nl/tile/320x180/1685898.jpg,https://images.npo.nl/tile/320x180/1685898.jpg,"['Animatie', 'Muziek']"
17,Dekolonisatie Indonesië I NPO Kennis,"""The hand that crawls, kills and lives!!!""
Engeland, 18e eeuw. Wanneer de schaamteloze Henry Fengriffen gebruik maakt van een vervallen feodaal recht om de vrouw van de houthakker Silas op haar huwelijksnacht te onteren, verzet deze laatste zich daar wanhopig tegen. Uit woede hakt Henry de hand van de ongelukkige man af, waarna Silas een vernietigende vloek over hem en zijn nageslacht uitspreekt. Twee generaties later leidt de jonge graaf Charles Fengriffen zijn bruid Catherine het voorvaderlijk kasteel binnen. Al vlug krijgt ze angstaanvallen, want een afschuwelijke dreiging zorgt voor terreur...",Programmas,https://www.npostart.nl/dekolonisatie-indonesie-i-npo-kennis/POMS_S_NTR_16816139,https://images.npo.nl/tile/320x180/1670429.jpg,https://images.npo.nl/tile/320x180/1670429.jpg,['Horror']
18,Herdenkingsconcert Bernard Haitink,"Het Concertgebouworkest speelt o.l.v. dirigent Ivan Fischer de eerste symfonie van Mahler tijdens een speciaal extra concert in het Concertgebouw, om zo dirigent Bernard Haitink te gedenken.",Programmas,https://www.npostart.nl/herdenkingsconcert-bernard-haitink/POMS_S_AT_16815104,https://images.npo.nl/tile/320x180/1627864.jpg,https://images.npo.nl/header/2560x1440/1627864.jpg,[]
19,Na de pandemie | Nieuwsuur,Nieuwsuur kijkt over de pandemie heen naar de toekomst.,Programmas,https://www.npostart.nl/na-de-pandemie-nieuwsuur/POMS_S_NOS_16805583,https://images.npo.nl/tile/320x180/Na_de_pandemie_De_zorg_cdn_tile-1643787903.png,https://images.npo.nl/tile/320x180/Na_de_pandemie_De_zorg_cdn_tile-1643787903.png,['Drama']
20,Atardi - Het leven van de Curaçaose muzieklegende Rudy Plaate,"'Zingende groenteboer' Rudy Plaate lijdt aan dementie en kan zijn verhaal niet meer vertellen. Familie, vrienden en muziekkenners schetsen in een chronologisch eerbetoon zijn kleurrijke leven.",Programmas,https://www.npostart.nl/atardi-het-leven-van-de-curacaose-muzieklegende-rudy-plaate/POMS_S_VPRO_16779417,https://images.npo.nl/tile/320x180/1662471.jpg,https://images.npo.nl/header/2560x1440/1662471.jpg,[]
21,Het verhaal van Nederland in de klas,"De geschiedenis van Nederland in 10 afleveringen, vanaf het moment dat de eerste bewoners zich er vestigden tot nu. Inclusief lesbrief en interactieve tijdlijn.",Programmas,https://www.npostart.nl/het-verhaal-van-nederland-in-de-klas/POMS_S_NTR_16768621,https://images.npo.nl/tile/320x180/1665634.jpg,https://images.npo.nl/tile/320x180/1665634.jpg,[]
22,Een programma over de jaren tachtig,"Journalist en historicus Teun van de Keuken onderzoekt de jaren tachtig, steeds samen met een co-presentator die persoonlijk betrokken is bij het onderwerp van de aflevering. Een Vietnamese bootvluchteling, een kind onder de evenaar, een Joegoslavische sporter en een straaljagerpiloot.",Programmas,https://www.npostart.nl/een-programma-over-de-jaren-tachtig/VPWON_1338534,https://images.npo.nl/tile/320x180/Teun-van-de-Keuken_Een-programma-over-de-jaren-80_2022_VPRO_-c-Michiel-Cotterink_cdn_tile-1645186691.jpeg,https://images.npo.nl/header/2560x1440/Teun-van-de-Keuken_Een-programma-over-de-jaren-80_2022_VPRO_-c-Michiel-Cotterink_cdn_header-1645186691.jpeg,[]
23,ABBA Sing-A-Long,Alle grote hits van de band ABBA komen langs. In de meezingquiz maken drie duo's uit wie het meeste weet van ABBA.,Programmas,https://www.npostart.nl/abba-sing-a-long/POMS_S_AT_16745631,https://images.npo.nl/tile/320x180/1844630.jpg,https://images.npo.nl/tile/320x180/1844630.jpg,"['Muziek', 'Documentaire']"
24,Encore,"Een duik in de archieven van Franse chansons en chansonniers bij Nederlandse tv-programma's als Club Domino en Toppop. Met optredens van Charles Aznavour, Jacques Brel, Edith Piaf en vele anderen.",Programmas,https://www.npostart.nl/encore/POMS_S_AT_16663708,https://images.npo.nl/tile/320x180/Charles_Aznavour_Encore_cdn_tile-1633957172.jpg,https://images.npo.nl/tile/320x180/Charles_Aznavour_Encore_cdn_tile-1633957172.jpg,"['Komedie', 'Drama']"
