,Name,Description,Category,URL,Small_Image,Large_Image,Tags
33,Van Moskou tot Magadan,Jelle Brandt Corstius gaat in Rusland op zoek naar de thema's die het leven van de gewone Rus beheersen.,Documentaires,https://www.npostart.nl/van-moskou-tot-magadan/POMS_S_VPRO_084195,https://images.npo.nl/tile/320x180/7588.jpg,https://images.npo.nl/tile/320x180/7588.jpg,[]
35,Licht op het Noorden,In de vierdelige serie Licht op het Noorden vraagt Stine Jensen zich af hoe het echte Scandinavië achter de clichés eruitziet en gaat ze op zoek naar het leven voorbij de stereotypen.,Documentaires,https://www.npostart.nl/licht-op-het-noorden/POMS_S_VPRO_416717,https://images.npo.nl/tile/320x180/licht_op_het_noorden_4_credit_Hans_Pool_cdn_tile-1589889619.jpg,https://images.npo.nl/tile/320x180/licht_op_het_noorden_4_credit_Hans_Pool_cdn_tile-1589889619.jpg,"['Drama', 'Muziek']"
41,Doc25,"Twee vrouwen die elkaar niet kennen, maken een reis in tegengestelde richting. Esther is zwanger van haar eerste kind, Marie-Louise is ongeneeslijk ziek. Regie: Josefien Hendriks.",Documentaires,https://www.npostart.nl/doc25/21-10-2013/VPWON_1193245,https://images.npo.nl/tile/320x180/230803.jpg,https://images.npo.nl/header/2560x1440/230803.jpg,[]
45,Holland Doc,"Holland Doc is een documentairerubriek van de IKON, HUMAN, NPS en de VPRO. Verhalen over wat mensen beweegt en hoe ze in het leven staan. Veelal zijn de documentaires eerder te zien geweest op internationale filmfestivals.",Documentaires,https://www.npostart.nl/holland-doc/POMS_S_VPRO_083953,https://images.npo.nl/tile/320x180/7617.jpg,https://images.npo.nl/tile/320x180/7617.jpg,[]
47,Juliana in de oorlog,In maart is het tien jaar geleden dat koningin Juliana overleed. In dit portret wordt uitgebreid stilgestaan bij de oorlogsjaren van Juliana.,Documentaires,https://www.npostart.nl/juliana-in-de-oorlog/05-03-2014/14act0319Juliana,https://images.npo.nl/tile/320x180/424843.jpg,https://images.npo.nl/tile/320x180/424843.jpg,['Documentaire']
52,MO Doc: Als je ouders gaan vergeten,We maken kennis met twee Marokkaanse families waarvan de ouders dement zijn geworden. Dat is de eerste verhaallijn in de documentaire. Liefdevol gefilmd maken we een reis door de tijd.,Documentaires,https://www.npostart.nl/mo-doc-als-je-ouders-gaan-vergeten/07-12-2013/NPS_1234932,https://images.npo.nl/tile/320x180/292955.jpg,https://images.npo.nl/header/2560x1440/292955.jpg,[]
58,,Een documentaire over het lot van Sovjet-Russische krijgsgevangenen die in de laatste oorlogsjaren in Nederland werkten en na de bevrijding bleven.,Documentaires,https://www.npostart.nl/04-05-2014/POW_00798283,https://images.npo.nl/tile/320x180/451566.jpg,https://images.npo.nl/tile/320x180/451566.jpg,['Documentaire']
60,Mijn moeder is dement,In het kader van de themaweek DementieEnDan (september 2013). Welke specifieke problematiek speelt er bij veel migranten uit de eerste generatie die lijden aan dementie?,Documentaires,https://www.npostart.nl/mijn-moeder-is-dement/04-01-2014/NPS_1239243,https://images.npo.nl/tile/320x180/326281.jpg,https://images.npo.nl/header/2560x1440/326281.jpg,[]
61,De kinderopera van Theresiënstadt,"1958. In het Friese dorpje Lenten, aan een groot meer, woont de tweeling Sietse en Hielke. De twee deugnieten staren vaak urenlang naar de schepen die voorbij varen. Wanneer hun vader, smid Klinkhamer, een boot op de kop kan tikken, komt de droom van de twee jongens uit. De sloep heeft echter nog geen motor. Wanneer Sietse en Hielke bij een verschrikkelijk onweer het leven van de dokter redden, krijgen ze een motor cadeau. Ze noemen hun nieuwe trots 'De Kameleon' en in hun speedboot vaart de tweeling allerlei avonturen tegemoet.",Documentaires,https://www.npostart.nl/de-kinderopera-van-theresienstadt/04-05-2014/14act0504Docu,https://images.npo.nl/tile/320x180/460467.jpg,https://images.npo.nl/tile/320x180/460467.jpg,"['Avontuur', 'Familie']"
62,Dialoog met de natuur,"Al wandelend door de Oostvaardersplassen praat ecoloog en filosoof Mathijs Schouten over onze relatie met de natuur met zeven bekende natuurliefhebbers, waaronder Andre Kuipers en Prinses Irene.",Documentaires,https://www.npostart.nl/dialoog-met-de-natuur/29-12-2013/VARA_101343040,https://images.npo.nl/tile/320x180/323752.jpg,https://images.npo.nl/tile/320x180/323752.jpg,"['Komedie', 'Familie']"
