,Name,Description,Category,URL,Small_Image,Large_Image
453,2Doc Kort,De Syrische Hassan is gevlucht voor het oorlogsgeweld uit de stad Hama. Vanuit zijn kamer in Haarlem wisselt hij continu audio- en videoberichtjes uit met zijn gezin dat is achtergebleven.,Documentaires,https://www.npostart.nl/2doc-kort/11-10-2018/VPWON_1290711,https://images.npo.nl/tile/320x180/1088220.jpg,https://images.npo.nl/header/2560x1440/1088220.jpg
454,2Doc:,Familiegeschiedenis over een verstoten kind dat in Ethiopië opgroeit voor galg en rad en een bejaarde Nederlandse vader die niet langer kan ontkomen aan zijn inmiddels volwassen buitenechtelijke zoon.,Documentaires,https://www.npostart.nl/2doc/05-11-2018/VPWON_1252778,https://images.npo.nl/tile/320x180/1112122.jpg,https://images.npo.nl/header/2560x1440/1112122.jpg
455,2Doc Kort,"Eva van Pelt volgt een jaar lang Nederlanders die vluchtelingen met een tijdelijke status een tijdelijk thuis bieden. Het levert ongemakkelijke, maar ook hilarische en hartverwarmende momenten op.",Documentaires,https://www.npostart.nl/2doc-kort/13-10-2018/VPWON_1290712,https://images.npo.nl/tile/320x180/1090025.jpg,https://images.npo.nl/header/2560x1440/1090025.jpg
456,2Doc:,Documentaire over de voetbalfamilie die alles riskeerde om van de ándere helft van het dorp te winnen.,Documentaires,https://www.npostart.nl/2doc/29-09-2018/VPWON_1266313,https://images.npo.nl/tile/320x180/1089563.jpg,https://images.npo.nl/header/2560x1440/1089563.jpg
457,Ons basisinkomen,,Documentaires,https://www.npostart.nl/ons-basisinkomen/POMS_S_VPRO_15160395,https://images.npo.nl/tile/320x180/euro-geld-munt-cash-vallen-stock_cdn_tile-1589882427.jpg,https://images.npo.nl/header/2560x1440/euro-geld-munt-cash-vallen-stock_cdn_header-1589882427.jpg
458,2Doc Kort,Documentairemaker Oisin Kearney groeide op in een stadje op de grens van Noord-Ierland met Ierland. Met de dreiging van een nieuwe harde grens vanwege brexit is er angst voor terugkeer van het geweld.,Documentaires,https://www.npostart.nl/2doc-kort/22-10-2018/VPWON_1290714,https://images.npo.nl/tile/320x180/1330627.jpg,https://images.npo.nl/header/2560x1440/1330627.jpg
459,Duivelse Dilemma's,Prominente Nederlandse filmmakers zetten hun personages voor een keuze tussen kwaden. Ze vertalen actuele thema’s in persoonlijke dilemma’s.,Documentaires,https://www.npostart.nl/duivelse-dilemmas/VPWON_1260601,https://images.npo.nl/tile/320x180/duivelse_dilemma_s_prijs_van_de_waarheid_katja_herbers_ariane_schluter_cdn_tile-1590002399.jpg,https://images.npo.nl/header/2560x1440/duivelse_dilemma_s_prijs_van_de_waarheid_katja_herbers_ariane_schluter_cdn_header-1590002399.jpg
460,Brandpunt+,Het gaat slecht met de hongingbij. In Nederland wordt een uniek reddingsprogramma gestart om de bij van de ondergang te redden.,Documentaires,https://www.npostart.nl/brandpunt/11-09-2018/KN_1701096,https://images.npo.nl/tile/320x180/1082860.jpg,https://images.npo.nl/header/2560x1440/1082860.jpg
461,2Doc:,"In een Braziliaans bergdorpje woont de tachtigjarige Dona Alva, alias De machovrouw. Na de dood van haar man, met wie ze een liefdeloos huwelijk had, gaat ze dapper op zoek naar een nieuwe liefde.",Documentaires,https://www.npostart.nl/2doc/21-11-2018/VPWON_1297711,https://images.npo.nl/tile/320x180/1159601.jpg,https://images.npo.nl/header/2560x1440/1159601.jpg
462,Een Hollander in Parijs,Philip Freriks stapt in de voetsporen van Nederlandse kunstschilders in 19de eeuws Parijs.,Documentaires,https://www.npostart.nl/een-hollander-in-parijs/VPWON_1282184,https://images.npo.nl/tile/320x180/6sept_Philip_Freriks_3_cdn_tile-1587131419.jpg,https://images.npo.nl/header/2560x1440/6sept_Philip_Freriks_3_cdn_header-1587131419.jpg
463,2Doc:,"Kunnen we nog uitgaan van een waarheid, in deze tijden van nepnieuws? Bellingcat, een internationaal netwerk van gewone burgers en jonge computernerds, krijgt de feiten boven tafel.",Documentaires,https://www.npostart.nl/2doc/20-11-2018/VPWON_1268457,https://images.npo.nl/tile/320x180/1159605.jpg,https://images.npo.nl/header/2560x1440/1159605.jpg
464,2Doc:,In de Chinese metropool Chongqing is de bloei van hiphopbands door de autoriteiten aan banden gelegd. Zangeres Lady Duck laat de hiphopwereld en bijbehorende undergroundcultuur van haar stad zien.,Documentaires,https://www.npostart.nl/2doc/20-11-2018/VPWON_1297795,https://images.npo.nl/tile/320x180/1159606.jpg,https://images.npo.nl/header/2560x1440/1159606.jpg
465,2Doc Kort,"De Iraanse Maedeh Hojabri wordt gearresteerd, omdat ze filmpjes van zichzelf, dansend zonder hoofddoek, op Instagram plaatst. Als een journalist zich solidair toont, wordt haar verhaal wereldnieuws.",Documentaires,https://www.npostart.nl/2doc-kort/20-11-2018/VPWON_1290715,https://images.npo.nl/tile/320x180/1113387.jpg,https://images.npo.nl/header/2560x1440/1113387.jpg
466,2Doc:,"Sylvana Simons, BN'er en voormalig tv-presentatrice, wordt bewonderd en verguisd. Wat doet dat met haar?",Documentaires,https://www.npostart.nl/2doc/21-11-2018/VPWON_1287876,https://images.npo.nl/tile/320x180/1159599.jpg,https://images.npo.nl/header/2560x1440/1159599.jpg
467,2Doc:,Documentaire over het dagelijks leven in een Syrisch tentenkamp in Libanon.,Documentaires,https://www.npostart.nl/2doc/19-11-2018/VPWON_1242769,https://images.npo.nl/tile/320x180/1157402.jpg,https://images.npo.nl/header/2560x1440/1157402.jpg
468,Focus,Het wetenschapsprogramma van de NTR,Documentaires,https://www.npostart.nl/focus/VPWON_1289481,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/De_Kennis_van_Nu_cdn_header-1647938397.jpg
469,Selma Wijnberg - De vrouw die Sobibor overleefde,"Documentaire n.a.v. het overlijden, op 4 december, van Selma Engel-Wijnberg, de laatste Nederlandse overlevende van nazikamp Sobibor.",Documentaires,https://www.npostart.nl/selma-wijnberg-de-vrouw-die-sobibor-overleefde/16-12-2018/POW_04136808,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1169035.jpg
470,2Doc:,Burgemeester Domenico Lucano kreeg huisarrest en werd daarna verbannen uit zijn huis en dorp. Aanleiding hiervoor was het beleid van de burgemeester om immigranten welkom te heten in zijn dorp.,Documentaires,https://www.npostart.nl/2doc/22-11-2018/VPWON_1281963,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1159600.jpg
471,2Doc:,"Tobias werd doof geboren, maar dat is voor hem geen handicap. Hij voelt zich thuis in de dovenwereld en heeft er zijn grote liefde gevonden.",Documentaires,https://www.npostart.nl/2doc/26-11-2018/KN_1703167,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1120748.jpg
472,2Doc:,"Enkele deelnemers aan een wetenschappelijk experiment in 1973, waarbij zij maandenlang op een vlot op zee doorbrachten, kijken in een nagebootste setting terug op deze ervaring.",Documentaires,https://www.npostart.nl/2doc/27-12-2018/VPWON_1234627,https://images.npo.nl/tile/320x180/1169346.jpg,https://images.npo.nl/header/2560x1440/1169346.jpg
